x,y
4.603063373373146305e-01, 7.723290815675759591e-01
1.004704009772766776e-01, -9.076928206116089415e-01
-5.438008234106085359e-01, 1.049123574729516006e+00
7.410187471731105591e-01, -1.131492279349889829e+00
-3.387948405896446524e-01, -1.171763000382336939e+00
6.151316629964072025e-01, 1.367993858989856315e-01
-1.395979439686348966e+00, 1.300206884401969021e-01
2.069844176001102154e-01, -1.548468808672025299e+00
2.971707488916957574e-01, -6.123879984777566010e-01
-2.431683466153591877e-01, -3.673237183877515744e-01
2.201408974917008710e+00, -6.411647455032449816e-01
-2.696269412998781312e-01, -1.120894977799573033e-01
1.630785094535165847e+00, -9.513248352484953152e-01
-3.656181017591054322e-02, 2.179293102051016451e-01
4.693391773033420145e-01, -1.078214559012149243e+00
-1.604528284047194164e+00, 7.396671798783900353e-01
-4.824927393827870836e-01, 8.626378062873003572e-01
-6.463973485423145648e-01, -4.340027933666999460e-01
-6.806809605558442611e-01, 1.217883661440360754e+00
-1.807910048936119507e+00, 1.423154948010589838e+00
1.370387674553938506e+00, -1.594521929104774305e+00
1.746998867456722726e-01, -9.598723213568046697e-01
1.172278236418851538e+00, 6.922322862771996821e-01
2.254249158600715452e-01, 6.203665095724191225e-01
1.637659779952926609e-01, -9.485593986016517265e-01
1.862125949317971152e+00, -3.812900325199194973e-01
4.463667371815421281e-01, 7.751163051350834499e-01
-3.449747781025602200e-01, -5.347660075997784368e-01
1.097184761495733213e-01, 7.885717254845344693e-01
1.635536306907373894e-01, 6.120497114885359302e-01
-7.348226274888910448e-01, -7.413389886899703907e-01
9.477109659308226020e-01, -3.467784321162173722e+00
6.935339302779557347e-01, 2.049126521396906486e-01
5.286959053967497102e-01, -1.793676902365221038e+00
8.375086750266385049e-01, -2.607425901687018488e+00
-4.510098728138390856e-01, 1.026563772539929476e+00
5.127410625193563609e-01, -8.117054696770160671e-01
3.559976156702389094e-01, -4.689389998294469786e-01
-2.414594170819960375e-02, -3.926441553687242680e-01
-1.261001052102894426e-01, 2.172562677861448743e-01
9.296569401837579960e-01, 4.274152880793739007e-01
8.485176285451317968e-01, -6.726095612114615374e-01
-6.000588634599821614e-01, 1.392831746637446244e-01
-2.059383830700603768e-01, 1.019837544138665564e+00
-4.091943588207658800e-01, 3.423562506769969316e-01
1.319984369117291001e+00, -2.935269059634084132e-01
-4.475202861885986261e-01, 1.036926964449112809e+00
9.252516705472723091e-01, 4.227426211450784344e-01
1.090812935975802311e+00, 1.211899148110847868e+00
-2.584079922071776392e-01, -1.596382405003517579e+00
7.030752364185075542e-01, -1.865427358864233665e-01
5.102380388668837918e-01, 8.312520437125012762e-01
-6.775750185458236929e-01, -3.808096751070818020e-01
-1.070180926649508146e+00, -1.111867982501557828e+00
2.977588197186808561e+00, -9.766904483916717394e-01
-3.067078980736437921e-01, 8.468344121128016377e-01
-1.511436797637179197e+00, -7.173975135557453253e-01
6.202101824687422660e-01, 2.677552098849397266e-01
2.814543854163910064e-01, -1.811449430505191804e+00
2.912967076580983972e-01, -6.508100840218273841e-01
-1.008245083218104243e+00, 3.843685581304518983e-01
1.364923629997070842e+00, 8.423091535563279608e-01
-6.836018310338271009e-01, 9.356176358376383506e-01
4.523420568075113835e-01, -6.973094385477276447e-01
2.144491362047052263e+00, 2.567284431172098258e-01
4.260790168592317739e-01, -1.618630340562409620e+00
1.299536953737983502e+00, 2.705926714941184197e-02
7.124499734187699218e-01, -5.783265278039401158e-01
-1.556524796378376152e+00, -5.778418017617081848e-01
-1.152411812868024965e+00, -4.608244484620816483e-01
-1.032253205319814349e+00, -1.804343715621008259e+00
-2.803612810211120188e-01, -3.480452894519921875e-02
-2.577410027456529806e-01, 1.349120920678837932e+00
8.263497453852186592e-02, 1.632563922307022963e+00
1.840245640838663876e-01, -7.181993762748909438e-01
-1.885379973919565133e+00, 1.736143034764328741e+00
-1.526522724951238530e+00, 3.476614404183074880e-01
2.670994655151465169e-01, 1.231082507539254633e+00
3.757920016098928451e-01, 1.250280868273681234e+00
-2.834055871556920292e-01, -8.282146825808123225e-01
-1.813479258518923276e-01, -1.221943542298499663e+00
-4.125237908289625666e-01, -9.432833708207962742e-01
-1.673918899845786012e-02, 2.030372988312331373e+00
1.434038429695019490e+00, -3.563758614776261213e-01
-6.973463848340425431e-01, 6.920098518663828635e-01
-3.186341494950730158e-01, -9.280608430222176963e-01
-1.312751042460708506e+00, -2.856164593908107063e-01
1.331795151882055883e+00, -2.109212753873344892e-01
-6.953532222713121325e-01, -1.090162067363107390e+00
1.214736120610179659e+00, -5.289984004594979750e-01
-3.394930801475257165e-01, -7.492241354401737441e-01
4.736629273125598782e-01, -4.023744813042157698e-01
1.465710292438205942e-01, 8.794206242490598679e-01
